Inter-sample gap (us): 50
Inter-average gap (us): 500
Samples averaged: 20
Format: micros(), A0, A1 
80746307,80748280,33508,34500
80748935,80750905,33294,33440
80751559,80753532,33540,34286
80754188,80756161,33593,34163
80756816,80758789,33188,34515
80759445,80761413,33581,34684
80762070,80764042,33568,33919
80764697,80766670,33949,33401
80767326,80769300,33605,34603
80769955,80771928,33919,33531
80776505,80778477,33914,34310
80779134,80781105,32821,34106
80781760,80783731,33451,34032
80784386,80786360,32765,33759
80787017,80788990,33675,34181
80789645,80791617,33161,33481
80792273,80794245,34084,33837
80794900,80796875,32889,33231
80797530,80799501,32536,33462
80800156,80802127,32817,34226
80802782,80804754,33155,34005
80805409,80807383,33530,33591
80808040,80810012,33686,34080
80810667,80812639,33986,34527
80813293,80815264,33529,33716
80815919,80817890,32880,33997
80818544,80820516,33769,33106
80825104,80827077,33296,32921
80827732,80829703,32938,32956
80830359,80832330,33563,33560
80832985,80834959,33982,34465
80835614,80837585,33332,34268
80838240,80840213,33325,34254
80840868,80842839,33149,34175
80843494,80845467,32992,33743
80846124,80848096,33606,34644
80848751,80850723,33125,34297
80851378,80853351,32237,34033
80854008,80855978,32801,34426
80856633,80858603,31959,34149
80859258,80861229,33266,33547
80861884,80863855,33514,34647
80864511,80866482,33696,32431
80871074,80873044,32847,34196
80873699,80875672,33083,33710
80876327,80878299,33709,33194
80878955,80880928,33432,33803
80881582,80883556,32842,34491
80884211,80886186,33118,33492
80886841,80888812,33644,34002
80889467,80891438,33956,33956
80892096,80894067,33350,33418
80894722,80896694,33212,33344
80897349,80899320,32623,33713
80899975,80901948,33031,34649
80902603,80904576,33880,33907
80905231,80907203,32968,34361
80907858,80909829,33814,33652
80910484,80912459,33997,33068
80913116,80915087,33749,33387
80919657,80921631,33531,34368
80922286,80924259,33811,34543
80924914,80926887,33419,34201
80927542,80929513,33139,33129
80930168,80932140,32493,34213
80932795,80934768,33433,33595
80935423,80937396,33156,33854
80938053,80940021,33248,33767
80940676,80942649,33531,34444
80943304,80945277,33116,33816
80945932,80947904,32211,33565
80948559,80950530,33747,33774
80951184,80953157,34044,34104
80953812,80955785,33308,34587
80956440,80958411,32864,33567
80959068,80961042,32604,33345
80965604,80967579,33393,33148
80968234,80970205,32854,33628
80970860,80972831,33519,34500
80973487,80975459,32846,33842
80976116,80978087,33621,34600
80978742,80980713,31876,33222
80981368,80983339,33649,34064
80983994,80985967,33768,33513
80986621,80988595,32621,33267
80989250,80991220,33032,34107
80991875,80993848,34112,33823
80994503,80996476,34071,33652
80997133,80999104,33238,33681
80999759,81001731,33564,34049
81002385,81004359,33192,33021
81005016,81006989,33600,34472
81007644,81009616,33973,34183
81014202,81016175,32772,33474
81016830,81018802,32728,34380
81019457,81021428,32517,34289
81022085,81024058,33020,33510
81024713,81026686,32785,33541
81027341,81029313,33697,34108
81029968,81031938,31911,33411
81032593,81034566,32111,33973
81035221,81037193,32813,33401
81037849,81039820,34036,33580
81040475,81042449,33271,34415
81043106,81045079,32750,33390
81045734,81047705,33022,34260
81048360,81050332,33074,33564
81050987,81052960,33737,34272
81053615,81055589,33642,33932
81060175,81062148,32946,32751
81062803,81064776,32646,34168
81065432,81067403,33080,34234
81068060,81070032,33101,33786
81070688,81072659,33218,33793
81073314,81075285,33718,33768
81075940,81077911,33948,33711
81078567,81080538,32468,33104
81081194,81083165,33586,32584
81083820,81085793,33014,33940
81086449,81088420,32865,33623
81089077,81091049,33520,33409
81091704,81093678,33603,33449
81094333,81096302,33605,33684
81096957,81098928,33495,34397
81099582,81101557,33902,34349
81102213,81104185,33152,34059
81108638,81110610,33520,34488
81111265,81113239,33253,34470
81113894,81115867,33582,34611
81116522,81118495,32872,33899
81119152,81121123,33765,34296
81121778,81123751,33547,34183
81124406,81126379,32805,34540
81127036,81129006,33223,33164
81129662,81131633,33807,33432
81132288,81134262,33652,34116
81134917,81136890,33551,34125
81137545,81139513,33030,34077
81140169,81142140,33521,34221
81142795,81144767,33478,33654
81145423,81147395,33136,34531
81148053,81150023,33828,33545
81154587,81156558,33841,33868
81157213,81159186,32877,33833
81159841,81161812,33237,34307
81162468,81164438,33089,33837
81165096,81167066,32939,32997
81167722,81169694,32543,34453
81170349,81172320,32279,33388
81172975,81174948,33335,33821
81175603,81177576,32764,33624
81178231,81180203,33479,34408
81180858,81182829,33433,33606
81183485,81185459,32773,33907
81186116,81188087,31505,33626
81188742,81190712,33195,34196
81191368,81193339,33466,34093
81193994,81195967,33105,33500
81196621,81198594,33263,34164
81203174,81205145,33148,33832
81205800,81207773,33758,34406
81208428,81210398,32368,34524
81211055,81213027,34000,33655
81213682,81215656,33300,33801
81216311,81218284,33743,34188
81218939,81220909,33733,34205
81221564,81223536,32904,34487
81224191,81226163,33148,32848
81226819,81228792,33332,34148
81229447,81231418,32759,34253
81232075,81234046,32839,34099
81234701,81236674,34068,33573
81237330,81239302,33906,33752
81239957,81241928,33294,32979
81242584,81244557,32728,34568
81249150,81251121,32884,33431
81251777,81253749,33545,33468
81254405,81256378,33112,32202
81257035,81259006,33142,34346
81259661,81261632,32729,33921
81262288,81264262,33525,33543
81264917,81266890,33567,34115
81267546,81269517,32935,33880
81270173,81272144,33900,33248
81272799,81274772,33675,34013
81275428,81277398,32647,33646
81278055,81280027,33750,34558
81280682,81282656,33573,34047
81283310,81285284,33833,34445
81285939,81287909,33159,33657
81288563,81290534,33633,34033
81291189,81293163,33362,34489
81297742,81299712,32662,33907
81300368,81302339,33672,34644
81302994,81304967,33241,34139
81305622,81307595,32696,33754
81308250,81310220,32629,33493
81310875,81312848,33672,33660
81313503,81315476,33585,33897
81316133,81318103,32956,33593
81318758,81320731,32982,34078
81321386,81323360,33806,34397
81324017,81325989,32861,33276
81326644,81328615,33953,34153
81329270,81331242,33376,33867
81331896,81333869,33204,32858
81334524,81336496,33851,34129
81337154,81339125,33531,32882
81343694,81345667,33133,33301
81346321,81348294,33873,32831
81348949,81350921,33980,34318
81351576,81353548,33778,32551
81354203,81356176,32549,33548
81356831,81358803,33298,34708
81359458,81361428,32694,33982
81362085,81364058,33418,33479
81364713,81366686,33422,33511
81367342,81369313,33009,33781
81369968,81371941,33609,34094
81372596,81374569,33285,34243
81375224,81377197,33284,34468
81377852,81379824,32574,33750
81380479,81382452,33707,33018
81383109,81385082,33816,33880
81385737,81387708,33008,34263
81392296,81394270,32529,34199
81394925,81396896,33881,34206
81397552,81399523,33006,33778
81400178,81402149,33084,32859
81402804,81404777,34009,34521
81405433,81407404,33231,32844
81408061,81410033,33148,34224
81410688,81412658,33062,33979
81413312,81415285,33654,33741
81415940,81417911,33304,34277
81418567,81420538,32166,34514
81421192,81423163,33547,34211
81423819,81425792,32751,34327
81426447,81428417,34093,34119
81429074,81431045,33731,33894
81431700,81433673,33187,34084
81438253,81440225,33186,34570
81440880,81442853,32995,34154
81443508,81445481,33530,33827
81446138,81448108,33341,34154
81448763,81450735,33220,33778
81451390,81453361,32490,32771
81454018,81455989,33642,34256
81456645,81458616,33763,33557
81459271,81461242,33519,34591
81461897,81463870,32890,33937
81464526,81466497,32592,33850
81467154,81469125,33244,33607
81469781,81471754,33918,33901
81472409,81474383,33003,33972
81475039,81477010,33331,34597
81477665,81479636,33680,33675
81480291,81482262,33374,34508
81486704,81488678,32281,34337
81489333,81491304,32368,34069
81491959,81493930,33414,33986
81494586,81496557,32925,33274
81497213,81499186,33957,34218
81499841,81501812,33217,32857
