Inter-sample gap (us): 50
Inter-average gap (us): 500
Samples averaged: 20
Format: micros(), A0, A1 
67624355,33256,33327
67626932,33351,33675
67629511,33514,34232
67632087,33358,34155
67634666,33830,33818
67637244,32621,33842
67639821,33601,33773
67642398,33657,33855
67648862,33489,32908
67651437,34063,33653
67654014,33196,33771
67656593,33311,34450
67659171,33355,33923
67661749,33816,34616
67664327,33061,34038
67666904,33049,34337
67669483,33611,34605
67672061,33179,32995
67674638,32798,33956
67677215,33528,34200
67679791,33738,34536
67682370,33417,33241
67684946,33546,33204
67687526,32604,33482
67690102,34007,33594
67692679,33600,33941
67695258,32617,33041
67697834,32827,34024
67700409,33106,34103
67702988,33238,33935
67705568,33887,34208
67712018,33153,34201
67714595,33538,33914
67717173,33187,34554
67719750,33460,33902
67722327,33419,34101
67724904,32462,34188
67727483,33484,33868
67730061,33559,34545
67732638,33411,34052
67735215,33046,34079
67737791,33006,34231
67740370,32067,33685
67742946,34022,34195
67745526,32827,33629
67748103,32714,33572
67750679,33156,33934
67753258,33682,34368
67755835,33610,34290
67758410,33108,33593
67760987,32985,34538
67763568,32603,34211
67766143,33274,34306
67768720,34028,33839
67775160,33134,33735
67777737,33591,34071
67780314,33834,34530
67782891,32885,34086
67785470,33443,33350
67788048,33142,32641
67790625,33860,33101
67793202,33526,34480
67795778,33321,33637
67798356,33427,34165
67800934,31894,33723
67803513,32750,33686
67806090,33877,33968
67808669,33452,34456
67811244,33842,34253
67813821,33336,34025
67816398,32981,34111
67818975,33591,33442
67821554,33445,34537
67824131,32947,33940
67826708,33863,33515
67829286,33266,34580
67831865,32360,34252
67834442,33593,33876
67840886,33526,33741
67843463,33643,34544
67846040,32594,33909
67848617,33551,34522
67851196,33885,33869
67853775,32870,34316
67856353,33199,34116
67858932,33248,34016
67861511,32910,33343
67864087,33577,34415
67866666,33860,34069
67869244,33464,34042
67871821,32289,32478
67874398,33677,33987
67876975,33478,34471
67879554,33143,34081
67882130,33886,34536
67884707,33644,34204
67887284,33212,34473
67889863,31779,34138
67892441,33548,33156
67895018,33574,33922
67897595,33502,34261
67904070,33619,33822
67906648,32985,33435
67909225,32963,33040
67911802,32542,33615
67914382,33582,34112
67916960,33681,32903
67919540,32950,33183
67922116,32688,33295
67924693,33233,34750
67927272,33509,33920
67929850,33576,34111
67932427,33414,33859
67935004,33046,33617
67937581,33833,33098
67940159,32354,34099
67942736,32886,33673
67945314,33426,33916
67947891,32767,33723
67950470,33128,34555
67953048,33982,34146
67955625,33535,33181
67958201,32572,34103
67960778,34096,33522
67967227,33352,32719
67969804,33305,33343
67972382,32841,33959
67974960,33481,34196
67977539,33552,33077
67980117,32570,33968
67982693,32203,34002
67985271,33837,34181
67987848,34015,34398
67990425,32600,33630
67993004,33343,33339
67995581,33536,32953
67998159,33392,33804
68000736,33275,34097
68003314,33822,33859
68005891,33751,34068
68008469,33518,33915
68011048,33702,33856
68013624,33913,34015
68016201,33432,33755
68018778,33532,34190
68021357,33144,33183
68023934,33052,33023
68030252,33388,33733
68032828,33025,34391
68035405,33008,33622
68037984,32809,33798
68040564,33734,32917
68043141,33596,33551
68045719,33933,33924
68048297,33602,33564
68050874,32957,33749
68053453,33529,33911
68056029,33855,34026
68058606,33980,34247
68061185,32668,34118
68063764,33630,34369
68066342,32875,33898
68068920,33122,33801
68071498,33449,33220
68074077,33866,33659
68076654,33350,33149
68079231,33803,33857
68081808,33111,33330
68084385,33168,34141
68086964,33845,34120
68089542,32283,33335
68095843,32687,34582
68098420,33229,33706
68100997,33316,34060
68103579,33955,33897
68106156,32916,34438
68108734,33220,32762
68111311,33344,34198
68113890,33074,34060
68116468,33020,33802
68119044,33892,33789
68121621,33062,34651
68124200,33575,33676
68126776,33365,34386
68129355,33691,34133
68131933,33359,34500
68134511,33620,34115
68137088,33127,34408
68139666,33654,34075
68142245,33227,34436
68144825,32508,33387
68147402,33031,34639
68149981,33299,34145
68152561,32858,33518
68159074,33780,33378
68161652,33183,34042
68164229,33032,32182
68166805,33217,33604
68169382,32527,33841
68171961,33818,33720
68174539,33277,34416
68177116,33618,33504
68179692,32693,33099
68182270,32462,33079
68184848,33508,33526
68187426,33515,33765
68190005,33572,33849
68192581,33562,33488
68195160,33631,33919
68197736,32703,34009
68200313,33044,34036
68202889,33535,34289
68205468,33989,33667
68208044,33609,34470
68210621,34006,34173
68213200,33884,34511
68215777,33907,33915
68222232,32939,33290
68224810,32777,32505
68227387,32928,33599
68229965,33415,34057
68232544,32614,34092
68235121,33051,34152
68237698,32607,33546
68240277,33694,34216
68242852,33301,33987
68245432,33676,34126
68248009,33191,33666
68250587,34180,33600
68253164,32850,32534
68255743,33519,33954
68258320,31684,34122
68260897,33582,33410
68263477,33749,34556
68266057,33625,34355
68268634,33531,34297
68271211,33254,33915
68273790,33213,34136
68276368,33735,34590
68278946,33932,34084
68281524,33655,34237
68287965,32941,33581
68290546,33877,33772
68293123,33166,34174
68295700,32675,34444
68298279,33410,33774
68300857,33231,34195
68303433,33115,33087
68306010,33934,34147
68308589,34035,34505
68311166,33565,34551
68313745,33604,34408
68316322,33932,33549
68318899,33009,33692
68321480,33844,33249
68324059,32448,34132
68326637,32487,34292
68329214,32459,33816
68331791,33237,34267
68334370,32840,34469
68336947,33691,33498
68339524,32527,34325
68342102,32992,34017
68344678,32752,33798
68351118,33945,33885
68353695,34083,33741
68356273,33313,32320
68358850,34043,34216
68361426,32766,33391
68364005,33812,33435
68366581,33147,33968
68369159,33198,33559
68371736,33656,34418
68374312,33956,34315
68376889,33368,34517
68379468,32638,33952
68382048,33863,34532
68384625,33266,34277
68387202,33743,34101
68389777,32931,34010
68392355,32988,32529
68394933,32592,33953
68397512,33375,34221
68400087,33343,33218
68402665,33615,34046
68405244,33501,34053
68407821,33455,33948
68414327,32648,34129
68416905,33459,33629
68419483,34222,33505
68422062,32281,34591
68424639,32785,33768
68427216,33858,33846
68429793,33055,33989
68432371,34005,33736
68434949,33222,34456
68437530,33676,34194
68440107,34014,33146
68442687,33619,33603
68445263,32807,34189
68447843,33785,33971
68450421,33610,34663
68452997,33968,33374
68455578,32506,33836
68458157,33545,33673
68460736,32566,33823
68463313,33248,32954
68465889,32582,32736
68468468,33339,34354
68471048,33885,34723
68477559,33153,33811
68480138,32188,33705
68482715,33094,34641
68485293,33670,34489
68487873,33509,33700
68490452,33223,34298
68493029,32847,33267
68495606,33385,34065
68498185,34130,34506
68500764,33478,33135
68503343,33015,34504
68505920,32991,34599
68508498,33449,33474
68511077,33967,33273
68513655,34026,34099
68516231,33386,34287
68518808,33418,34061
68521385,33272,34243
68523964,34066,34080
68526542,33664,33972
68529119,33509,34159
68531696,33936,33594
68534276,33757,34304
68536852,33171,34623
68543232,34096,34181
68545808,33413,32410
68548385,33407,33890
68550964,32880,34112
68553542,33372,33509
68556120,33448,34312
68558697,33987,33488
68561273,33095,32950
68563851,33760,33628
68566428,33967,33449
68569005,33583,34233
68571581,34037,33077
68574160,33486,34386
68576737,32887,32998
68579314,33278,33051
68581891,33441,33127
68584470,33196,33377
68587048,33371,33683
68589624,32900,34543
68592201,33186,34058
68594778,33166,33790
68597357,33285,33342
68599934,33928,34384
68606286,33659,33703
68608865,33240,34121
68611441,33865,33290
68614018,32749,34104
68616595,33258,34020
68619173,33624,33653
68621750,33322,34495
68624327,32622,34025
68626904,33806,33549
68629482,33601,33478
68632061,34018,33322
68634638,33089,34191
68637215,32922,33966
68639791,33738,33964
68642369,34052,33494
68644946,33736,34393
68647526,33564,34600
68650103,32817,33720
68652679,32906,33527
68655257,33799,34005
68657834,32950,33118
68660411,33731,33633
68662988,33666,33829
68669438,33506,33514
68672015,34115,33061
68674593,33416,32405
68677171,33750,33222
68679749,33286,34182
68682327,33912,34350
68684904,33633,33174
68687483,33654,34335
68690061,33894,34179
68692638,32542,34220
68695214,32282,33329
68697791,33334,33870
68700369,32712,34175
68702946,33957,33242
68705526,33660,33905
68708103,33901,33001
68710680,32964,34196
68713258,31988,34071
68715836,33531,33878
68718413,33146,33542
68720990,32916,34194
68723570,32989,34542
68726147,32563,33703
68732615,32990,33806
68735193,33165,33802
68737772,33579,33842
68740349,32611,33723
68742926,32677,34469
68745505,33865,34293
68748083,33401,34225
68750660,33272,33713
68753237,33008,34048
68755814,32707,33773
68758393,32780,34433
68760972,33636,34248
68763553,33033,33929
68766129,33323,33949
68768706,33553,33734
68771283,32503,33385
68773862,33525,33327
68776441,32855,33975
68779018,33807,34567
68781595,33214,34192
68784173,33492,34252
68786750,33294,33664
68789327,33301,33780
68791905,33417,34344
68798356,32874,33532
68800933,33709,34094
68803511,33547,34465
68806088,33462,33550
68808666,32812,34019
68811244,32367,33789
68813821,33328,34124
68816398,33314,34353
68818975,33539,33966
68821553,33454,32984
68824130,33167,32739
68826707,32107,33929
68829284,33384,34219
68831863,33668,34331
68834441,32338,34256
68837018,32838,33790
68839594,32511,34658
68842172,32767,33986
68844750,33104,34368
68847327,33607,33967
68849904,31792,33407
68852483,33360,34247
68855061,33695,34580
68861505,33266,34137
68864083,32247,33972
68866660,33184,33356
68869237,33420,33657
68871813,33365,33502
68874392,33506,34214
68876972,33501,34394
68879552,33687,34308
68882129,33417,33647
68884706,32927,33846
68887284,33551,33328
68889862,33720,34157
68892441,33698,34569
68895018,32626,33853
68897594,33658,34230
68900173,32815,33570
68902750,31435,33192
68905327,33101,33752
68907904,33263,34115
68910483,33475,33952
68913061,33092,34465
68915638,33179,34639
68918215,33257,34422
68924678,33515,33212
68927257,34052,32885
68929834,33663,33677
68932409,33614,34120
68934988,33629,34041
68937568,33013,33333
68940146,33053,33543
68942723,33125,33666
68945299,33679,34145
68947876,32830,33211
68950455,33460,33833
68953031,32550,34408
68955608,33270,33582
68958185,33588,32761
68960764,33898,34694
68963343,32981,33451
68965920,33369,33999
68968498,32631,32959
68971076,32893,33868
68973655,33283,34139
68976232,33088,33736
68978808,33090,34125
68981385,33107,34220
68983964,33725,34508
68990421,33329,34582
68992997,33160,34596
68995578,33299,33793
68998157,33131,33819
69000735,33573,33539
69003312,33108,32921
69005890,33545,33759
69008468,33188,33842
69011048,33830,33259
69013625,33906,33621
69016202,33652,34318
69018778,33022,33883
69021357,33756,34277
69023933,33912,34161
69026511,33495,33855
69029088,33604,34104
69031667,33292,33594
69034245,32803,34303
69036825,33265,33924
69039402,33655,34095
69041981,34049,33750
69044560,33692,34185
69047138,32899,33985
69053458,33194,33561
69056035,33720,33657
69058612,32592,33341
69061189,33408,33960
69063767,33868,33805
69066344,33606,33976
69068923,32935,34056
69071502,31849,33546
69074079,33226,33894
69076656,33237,33601
69079235,33225,34488
69081812,33307,34327
69084391,33605,32903
69086971,33990,33870
69089551,32865,33326
69092129,33449,34042
69094706,33451,34578
69097284,33775,34188
69099862,33648,34587
69102441,33947,34388
69105018,33277,33917
69107594,33818,34080
69110172,32559,34232
69116470,32375,33563
69119047,33242,33870
69121624,33302,34501
69124201,31569,33616
69126778,33909,34264
69129356,32905,34547
69131932,34003,34317
69134511,33301,33579
69137088,33122,33417
69139666,33055,32594
69142244,32540,33492
69144821,32997,34195
69147398,33090,34188
69149975,32301,33785
69152553,32593,33383
69155131,32828,33336
69157708,33612,33944
69160284,32827,34569
69162862,31917,33823
69165441,33915,34180
69168018,32638,33676
69170595,33972,34237
69173174,33359,34641
69179628,32992,34200
69182205,33645,34608
69184783,33821,33871
69187361,33278,33886
69189937,33628,33404
69192515,32623,33813
69195092,33245,34234
69197671,33483,34136
69200246,33347,33690
69202825,33467,34041
69205402,33475,34199
69207981,33648,32693
69210560,32792,33476
69213138,33594,33479
69215715,32952,33739
69218294,32487,34350
69220873,33281,34155
69223452,34041,34230
69226029,33715,34274
69228606,33558,34545
69231185,32762,34450
69233764,33967,33813
69236343,33203,33379
69238920,33758,33800
69245377,32713,34007
69247954,33461,33635
69250532,32137,33389
69253108,33547,33816
69255687,33617,33527
69258264,33653,34617
69260843,33660,34112
69263421,33671,33979
69265997,33395,34165
69268578,33681,33923
69271157,32936,33967
69273736,33533,33373
69276312,33543,33418
69278890,33588,33614
69281468,33150,33571
69284045,32944,34038
69286622,33677,33779
69289201,33613,34492
69291778,33921,34128
69294356,33064,34014
69296933,32905,34416
69299511,33454,34185
69302088,33693,34214
69308539,33197,34201
69311116,33806,34536
69313693,33922,34666
69316271,33972,33890
69318848,33612,34498
69321425,32670,33510
69324004,33291,33935
69326581,33832,33395
69329160,33075,32673
69331736,33563,34137
69334313,33985,32993
69336890,32874,33876
69339468,33295,34538
69342044,32430,33852
69344621,33730,33939
69347200,32489,33407
69349777,33420,34204
69352355,33470,34321
69354933,32176,33784
69357511,33723,33813
69360088,31845,34102
69362666,32458,33171
69365245,33927,33843
69371684,33943,34208
69374262,33728,33857
69376838,33874,33841
69379415,33523,34547
69381992,34007,34288
69384572,33940,34035
69387149,33390,34172
69389728,33711,32417
69392305,33297,33947
69394883,33631,34178
69397460,33067,32847
69400039,33701,34345
69402617,31948,34080
69405196,32565,34222
69407775,33826,33804
69410354,33987,34208
69412932,33967,34104
69415511,33185,33095
69418088,32068,34420
69420667,33238,34344
69423245,33051,34554
69425824,33441,33848
69428402,32834,32425
69434949,33543,33356
69437530,33603,32909
69440106,33500,33586
69442685,32893,33475
69445262,33280,33368
69447841,32546,32949
69450419,31854,34201
69452996,33155,33689
69455577,32571,34079
69458156,33974,33438
69460733,33578,33912
69463310,33517,34310
69465889,32846,33920
69468468,32769,33816
69471047,33047,32726
69473624,33632,33703
69476201,34062,33907
69478778,33020,33808
69481356,33309,33555
69483933,33515,33017
69486512,32930,33915
69489087,34003,33225
69491666,33521,34003
69494244,32965,34542
69500693,33059,33689
69503271,33486,34296
69505848,33468,34234
69508426,33107,34036
69511004,33312,33782
69513581,32995,34536
69516160,32093,34290
69518737,33345,33544
69521314,33987,34613
69523891,33159,34198
69526470,33057,33449
69529048,33801,33659
69531625,32024,34518
69534202,33120,34225
69536779,33929,33781
69539357,34022,34174
69541934,33274,33965
69544512,33385,34488
69547089,33412,34139
69549669,33482,34600
69552246,33242,34067
69554825,32994,34318
69557402,33833,34409
69563723,33057,33240
69566299,33170,33373
69568876,33327,33472
69571454,32770,33874
69574031,33469,33659
69576607,32608,34085
69579185,32598,34126
69581764,33007,34474
69584342,33269,34666
69586919,33631,33881
69589498,33894,33583
69592077,32461,33718
69594655,33393,34065
69597235,32436,33800
69599812,33481,34208
69602391,33314,33894
69604972,33827,33198
69607552,33535,33728
69610129,32997,33929
69612706,33512,33318
69615283,33151,33752
69617862,33600,34114
69620441,33919,32860
69626743,33559,34114
69629320,32821,33867
69631897,33110,33800
69634480,33369,34233
69637058,33785,33997
69639635,33673,33468
69642211,34023,33926
69644789,32942,34131
69647367,33219,34034
69649946,34053,33913
69652524,33823,34166
69655103,33746,34252
69657679,34038,34667
69660258,34053,34321
69662834,33385,34079
69665411,33153,32760
69667988,33680,32507
69670568,33393,34469
69673146,33453,34044
69675723,33692,34351
69678299,32299,34122
69680876,33432,34500
69683455,32952,33973
69686031,34009,34188
69692488,33292,34482
69695064,32567,34264
69697641,32710,33614
69700218,33608,33917
69702795,33217,34111
69705374,33937,33793
69707950,32985,34258
69710530,33189,33233
69713106,33983,34241
69715685,32908,34034
69718261,33115,34252
69720838,33934,34165
69723415,33251,33260
69725992,33379,33713
69728572,33496,34173
69731148,33526,34602
69733727,32877,33875
69736303,33567,34208
69738881,32844,34007
69741458,33797,34128
69744035,33312,33929
69746612,34007,33635
69749189,33254,33744
69755652,33734,34007
69758228,33158,34483
69760805,33517,33845
69763382,33513,33899
69765960,33679,34246
69768539,33644,33815
69771117,32972,33832
69773693,33495,34424
69776271,32466,33874
69778848,33142,33969
69781425,33283,33552
69784004,33888,34026
69786581,33175,33684
69789160,33444,33706
69791736,33216,34250
