Inter-sample gap (us): 50
Inter-average gap (us): 1500
Samples averaged: 20
Format: micros(), A0, A1 
63964108,63966081,33114,34185
63967734,63969705,33818,33814
63971359,63973329,33241,34524
63974983,63976953,33009,34010
63978607,63980580,34002,34276
63982233,63984205,33689,32705
63985858,63987829,32875,33796
63993359,63995330,33828,33914
63996983,63998954,33547,33677
64000607,64002580,33309,33435
64004232,64006203,33856,32349
64007856,64009828,32654,34110
64011480,64013453,33509,34174
64015107,64017079,34176,33936
64018732,64020703,33924,33803
64022356,64024327,33966,34450
64025980,64027951,33548,33484
64029604,64031577,33322,34377
64033229,64035201,33089,34274
64036854,64038826,33723,33635
64040478,64042451,32921,34546
64044105,64046078,32812,34181
64047732,64049703,32774,34275
64051356,64053327,33254,34277
64058892,64060865,33164,33971
64062517,64064490,33287,34136
64066145,64068116,33219,33803
64069769,64071740,32903,33795
64073394,64075368,32271,33177
64077022,64078994,33891,34582
64080647,64082617,32990,33845
64084270,64086241,33038,33603
64087894,64089866,32763,34037
64091519,64093492,32693,34317
64095147,64097118,34010,34310
64098771,64100744,33931,33736
64102396,64104369,33308,34195
64106024,64107995,33977,33719
64109647,64111618,33491,33817
64113270,64115241,33286,34011
64120750,64122722,33467,33563
64124375,64126347,31931,34143
64128002,64129973,33195,34345
64131625,64133596,33295,33905
64135249,64137220,33223,34067
64138873,64140846,34206,34614
64142499,64144472,32582,34168
64146127,64148100,33271,33034
64149753,64151723,33896,32475
64153376,64155346,33594,33848
64157002,64158973,33025,33601
64160626,64162597,32899,34204
64164249,64166220,32882,34216
64167873,64169846,33224,33979
64171498,64173471,33995,34464
64175126,64177099,34018,34420
64178751,64180723,34005,34177
64186255,64188227,33426,34498
64189880,64191852,33697,33094
64193505,64195478,32629,34177
64197133,64199104,32268,33181
64200757,64202730,32859,34092
64204383,64206355,33636,33791
64208010,64209983,33384,33653
64211635,64213607,32617,33879
64215259,64217230,33054,34099
64218882,64220853,32957,34522
64222505,64224478,33512,33644
64226133,64228103,33799,33511
64229755,64231729,33239,33741
64233382,64235355,33178,33898
64237010,64238983,33608,34043
64240636,64242608,33357,33722
64248137,64250108,33921,34242
64251761,64253732,33493,33447
64255385,64257358,33038,33887
64259013,64260986,34032,33645
64262639,64264610,33890,34117
64266262,64268233,34053,33989
64269886,64271858,33535,34518
64273511,64275482,33164,33672
64277137,64279107,33377,34372
64280760,64282729,32254,33118
64284381,64286354,33085,34193
64288010,64289983,32481,33841
64291636,64293608,32909,33595
64295261,64297232,33103,33690
64298885,64300856,32122,33225
64302509,64304482,33263,33583
64306137,64308107,33730,33499
64313504,64315477,33243,33559
64317132,64319103,32971,33004
64320756,64322729,33913,34174
64324382,64326355,32890,34273
64328010,64329983,32778,32790
64331636,64333608,33523,33275
64335260,64337232,33451,33222
64338884,64340855,33252,33813
64342508,64344481,33350,33880
64346136,64348107,33307,34015
64349759,64351731,32896,34078
64353385,64355358,33631,33076
64357013,64358986,33380,34458
64360640,64362610,33163,33976
64364263,64366235,33384,33814
64367888,64369860,33857,34072
64375380,64377353,33120,33758
64379008,64380978,32099,34265
64382631,64384603,32571,33258
64386256,64388228,33728,33693
64389880,64391853,33303,34643
64393506,64395481,32762,34191
64397135,64399106,33671,34204
64400758,64402731,32817,33783
64404384,64406357,33791,33544
64408012,64409985,33756,34505
64411638,64413608,33405,33605
64415260,64417231,33081,34047
64418884,64420855,32894,34278
64422509,64424481,33932,34091
64426135,64428106,32620,33979
64429760,64431731,33566,34020
64433385,64435358,33322,34197
